interval,transaction_success_rate,total_transactions,timestamp,cpu_usage,memory_usage,response_time,error_rate,transaction_success_rate_lag1,cpu_usage_lag1,memory_usage_lag1,response_time_lag1,error_rate_lag1,transaction_success_rate_rolling_mean,transaction_success_rate_rolling_std,cpu_usage_rolling_mean,cpu_usage_rolling_std,memory_usage_rolling_mean,memory_usage_rolling_std,response_time_rolling_mean,response_time_rolling_std,error_rate_rolling_mean,error_rate_rolling_std,cpu_memory_interaction,hour,day_of_week,is_weekend,payment_status_encoded,high_error_rate_flag,response_time_spike_flag
2025-01-27 14:00:00,100.0,15.0,2025-01-27 14:00:31.972409088,49.404369088812,554.2693817265858,2.43,0.07,,,,,,,,,,,,,,,,27383.329109447874,14,0,0,1,0,0
2025-01-27 14:05:00,61.53846153846154,13.0,2025-01-27 14:05:31.972407040,49.40403603577924,554.2693817265858,2.28,0.05,100.0,49.404369088812,554.2693817265858,2.43,0.07,,,,,,,,,,,27383.144508349327,14,0,0,0,0,0
2025-01-27 14:10:00,90.0,11.0,,,,,,61.53846153846154,49.40403603577924,554.2693817265858,2.28,0.05,,,,,,,,,,,,14,0,0,0,0,0
2025-01-27 14:15:00,88.88888888888889,10.0,2025-01-27 14:15:31.972401920,49.404369088812,554.2660878366569,2.7,0.18,90.0,,,,,,,,,,,,,,,27383.166376894085,14,0,0,0,1,0
2025-01-27 14:20:00,75.0,9.0,2025-01-27 14:20:31.972400128,49.40403603577924,554.2660878366569,3.83,0.01,88.88888888888889,49.404369088812,554.2660878366569,2.7,0.18,,,,,,,,,,,27382.98177689258,14,0,0,0,0,1
2025-01-27 14:25:00,77.77777777777779,9.0,2025-01-27 14:25:31.972398080,49.404369088812,554.2660878366569,0.83,0.05,75.0,49.40403603577924,554.2660878366569,3.83,0.01,,,,,,,,,,,27383.166376894085,14,0,0,0,0,0
2025-01-27 14:30:00,80.0,10.0,2025-01-27 14:30:31.972395008,49.404369088812,554.2660878366569,4.68,0.16,77.77777777777779,49.404369088812,554.2660878366569,0.83,0.05,,,,,,,,,,,27383.166376894085,14,0,0,0,1,1
2025-01-27 14:35:00,100.0,13.0,,,,,,80.0,49.404369088812,554.2660878366569,4.68,0.16,,,,,,,,,,,,14,0,0,1,0,0
2025-01-27 14:40:00,100.0,7.0,2025-01-27 14:40:31.972389888,49.40403603577924,554.2660878366569,4.43,0.13,100.0,,,,,,,,,,,,,,,27382.98177689258,14,0,0,1,0,1
2025-01-27 14:45:00,70.0,10.0,,,,,,100.0,49.40403603577924,554.2660878366569,4.43,0.13,,,,,,,,,,,,14,0,0,0,0,0
2025-01-27 14:50:00,92.3076923076923,13.0,2025-01-27 14:50:31.972385024,49.404369088812,554.2693817265858,2.85,0.14,70.0,,,,,,,,,,,,,,,27383.329109447874,14,0,0,1,0,0
2025-01-27 14:55:00,77.77777777777779,9.0,2025-01-27 14:55:31.972381952,49.40403603577924,554.2693817265858,2.41,0.13,92.3076923076923,49.404369088812,554.2693817265858,2.85,0.14,84.44088319088318,12.683343619293321,,,,,,,,,27383.144508349327,14,0,0,0,0,0
2025-01-27 15:00:00,88.88888888888889,9.0,,,,,,77.77777777777779,49.40403603577924,554.2693817265858,2.41,0.13,83.51495726495726,11.820436201695479,,,,,,,,,,15,0,0,0,0,0
2025-01-27 15:05:00,100.0,11.0,,,,,,88.88888888888889,,,,,86.72008547008546,10.455385475288816,,,,,,,,,,15,0,0,1,0,0
2025-01-27 15:10:00,100.0,10.0,,,,,,100.0,,,,,87.55341880341881,11.1180888525724,,,,,,,,,,15,0,0,1,0,0
2025-01-27 15:15:00,87.5,8.0,,,,,,100.0,,,,,87.43767806267806,11.11014900178787,,,,,,,,,,15,0,0,0,0,0
